,1y,1y1y,2y1y,3y1y,4y1y,5y1y,6y1y,7y1y,8y1y,9y1y,5y,5y5y,10y5y,15y5y,20y5y,25y5y,30y5y,Year
28/07/2018,EUSA1 ICPL Curncy,EUSA0101 ICPL Curncy,EUSA0201 ICPL Curncy,EUSA0301 ICPL Curncy,EUSA0401 ICPL Curncy,EUSA0501 ICPL Curncy,EUSA0601 ICPL Curncy,EUSA0701 ICPL Curncy,EUSA0801 ICPL Curncy,EUSA0901 ICPL Curncy,EUSA5 ICPL Curncy,EUSA0505 ICPL Curncy,EUSA1005 ICPL Curncy,EUSA1505 ICPL Curncy,EUSA2005 ICPL Curncy,EUSA2505 ICPL Curncy,EUSA3005 ICPL Curncy,
18/01/2024,3.587,2.423,2.354,2.451,2.566,2.634,2.722,2.788,2.844,2.925,2.685,2.779,2.916,2.449,1.985,1.763,1.659,2024
45308,3.572,2.429,2.342,2.423,2.519,2.585,2.654,2.733,2.792,2.845,2.667,2.718,2.867,2.41,1.968,1.746,1.629,2024
45307,3.524,2.326,2.25,2.377,2.51,2.582,2.663,2.742,2.806,2.88,2.607,2.73,2.9,2.47,2.036,1.831,1.696,2024
45306,3.515,2.313,2.216,2.33,2.446,2.529,2.604,2.684,2.744,2.824,2.573,2.673,2.861,2.433,1.997,1.801,1.659,2024
45303,3.499,2.273,2.178,2.285,2.411,2.5,2.592,2.653,2.731,2.807,2.538,2.653,2.839,2.412,1.993,1.788,1.652,2024
45302,3.572,2.39,2.268,2.337,2.446,2.536,2.623,2.69,2.751,2.829,2.614,2.682,2.858,2.43,1.997,1.795,1.669,2024
45301,3.58,2.413,2.272,2.36,2.474,2.548,2.625,2.697,2.766,2.832,2.632,2.69,2.844,2.401,1.97,1.767,1.653,2024
45300,3.561,2.377,2.257,2.326,2.433,2.532,2.621,2.691,2.755,2.823,2.602,2.681,2.839,2.401,1.978,1.775,1.666,2024
45299,3.552,2.294,2.17,2.259,2.37,2.482,2.567,2.647,2.707,2.776,2.539,2.632,2.789,2.358,1.942,1.737,1.631,2024
45296,3.559,2.349,2.224,2.321,2.435,2.505,2.581,2.662,2.724,2.79,2.587,2.649,2.812,2.382,1.969,1.763,1.667,2024
45295,3.522,2.28,2.163,2.258,2.376,2.459,2.54,2.625,2.681,2.75,2.529,2.607,2.785,2.359,1.945,1.745,1.655,2024
45294,3.466,2.119,2.016,2.124,2.239,2.365,2.457,2.535,2.607,2.695,2.403,2.528,2.715,2.311,1.897,1.712,1.617,2024
45293,3.476,2.188,2.081,2.206,2.332,2.435,2.521,2.6,2.653,2.747,2.467,2.588,2.764,2.364,1.945,1.756,1.666,2024
45292,3.458,2.128,2.042,2.171,2.313,2.412,2.488,2.574,2.631,2.726,2.431,2.562,2.722,2.306,1.909,1.729,1.612,2024
45289,3.458,2.128,2.042,2.171,2.313,2.412,2.488,2.574,2.631,2.726,2.431,2.562,2.722,2.306,1.909,1.729,1.612,2023
45288,3.454,2.098,1.987,2.1,2.237,2.315,2.395,2.471,2.534,2.613,2.384,2.462,2.642,2.243,1.847,1.671,1.588,2023
45287,3.475,2.113,1.977,2.035,2.136,2.258,2.335,2.419,2.468,2.55,2.358,2.402,2.586,2.184,1.796,1.61,1.533,2023
45286,3.495,2.139,2.027,2.096,2.212,2.342,2.432,2.495,2.559,2.659,2.409,2.494,2.665,2.272,1.872,1.687,1.601,2023
45285,3.495,2.139,2.027,2.096,2.212,2.342,2.432,2.495,2.559,2.659,2.409,2.494,2.665,2.272,1.872,1.687,1.601,2023
45282,3.495,2.139,2.027,2.096,2.212,2.342,2.432,2.495,2.559,2.659,2.409,2.494,2.665,2.272,1.872,1.687,1.601,2023
45281,3.514,2.204,2.055,2.113,2.222,2.325,2.408,2.474,2.53,2.609,2.432,2.466,2.635,2.236,1.834,1.648,1.573,2023
45280,3.537,2.221,2.066,2.124,2.217,2.318,2.372,2.443,2.499,2.572,2.444,2.438,2.611,2.195,1.799,1.607,1.526,2023
45279,3.563,2.286,2.123,2.183,2.286,2.361,2.433,2.498,2.554,2.627,2.5,2.492,2.673,2.261,1.861,1.677,1.59,2023
45278,3.572,2.331,2.169,2.221,2.313,2.418,2.484,2.562,2.615,2.715,2.532,2.555,2.728,2.313,1.901,1.713,1.602,2023
45275,3.56,2.303,2.13,2.181,2.272,2.361,2.426,2.506,2.554,2.628,2.5,2.492,2.677,2.257,1.842,1.65,1.548,2023
45274,3.597,2.386,2.213,2.266,2.359,2.461,2.535,2.615,2.679,2.752,2.573,2.605,2.795,2.364,1.93,1.734,1.626,2023
45273,3.657,2.52,2.317,2.342,2.429,2.494,2.555,2.636,2.678,2.745,2.665,2.618,2.794,2.333,1.897,1.694,1.607,2023
45272,3.693,2.591,2.379,2.383,2.461,2.569,2.632,2.71,2.757,2.829,2.715,2.696,2.854,2.394,1.941,1.74,1.659,2023
45271,3.694,2.583,2.385,2.433,2.529,2.628,2.696,2.768,2.832,2.913,2.736,2.764,2.904,2.447,2.003,1.8,1.721,2023
45268,3.674,2.564,2.366,2.433,2.529,2.629,2.709,2.77,2.835,2.909,2.724,2.767,2.903,2.453,2.008,1.797,1.731,2023
45267,3.64,2.477,2.292,2.352,2.444,2.55,2.628,2.705,2.762,2.835,2.652,2.692,2.853,2.413,1.983,1.796,1.695,2023
45266,3.65,2.503,2.332,2.385,2.473,2.56,2.631,2.701,2.751,2.828,2.68,2.691,2.826,2.381,1.947,1.748,1.675,2023
45265,3.645,2.499,2.343,2.424,2.546,2.627,2.691,2.77,2.82,2.892,2.703,2.756,2.897,2.45,2.036,1.826,1.739,2023
45264,3.691,2.615,2.453,2.526,2.649,2.727,2.816,2.886,2.962,3.043,2.797,2.882,3.063,2.616,2.186,1.981,1.88,2023
