,a1m,a1m,a1m,a1m,a1m,a1m,a1m,a1m,a1m,b3m,b3m,b3m,b3m,b3m,b3m,b3m,b3m,b3m,c6m,c6m,c6m,c6m,c6m,c6m,c6m,c6m,c6m,d9m,d9m,d9m,d9m,d9m,d9m,d9m,d9m,d9m,e1y,e1y,e1y,e1y,e1y,e1y,e1y,e1y,e1y,f2y,f2y,f2y,f2y,f2y,f2y,f2y,f2y,f2y,g3y,g3y,g3y,g3y,g3y,g3y,g3y,g3y,g3y,h5y,h5y,h5y,h5y,h5y,h5y,h5y,h5y,h5y,i7y,i7y,i7y,i7y,i7y,i7y,i7y,i7y,i7y,j10y,j10y,j10y,j10y,j10y,j10y,j10y,j10y,j10y,k15y,k15y,k15y,k15y,k15y,k15y,k15y,k15y,k15y,l20y,l20y,l20y,l20y,l20y,l20y,l20y,l20y,l20y,Year
,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,
11/8/2018,EUSA1 ICPL Curncy,EUSA2 Curncy,EUSA3 Curncy,EUSA5 Curncy,EUSA7 Curncy,EUSA10 Curncy,EUSA15 Curncy,EUSA20 Curncy,EUSA30 Curncy,EUSA1 ICPL Curncy,EUSA2 Curncy,EUSA3 Curncy,EUSA5 Curncy,EUSA7 Curncy,EUSA10 Curncy,EUSA15 Curncy,EUSA20 Curncy,EUSA30 Curncy,EUSA1 ICPL Curncy,EUSA2 Curncy,EUSA3 Curncy,EUSA5 Curncy,EUSA7 Curncy,EUSA10 Curncy,EUSA15 Curncy,EUSA20 Curncy,EUSA30 Curncy,EUSA1 ICPL Curncy,EUSA2 Curncy,EUSA3 Curncy,EUSA5 Curncy,EUSA7 Curncy,EUSA10 Curncy,EUSA15 Curncy,EUSA20 Curncy,EUSA30 Curncy,EUSA0101 Curncy,EUSA0102 Curncy,EUSA0103 Curncy,EUSA0105 Curncy,EUSA0107 Curncy,EUSA0110 Curncy,EUSA0115 Curncy,EUSA0120 Curncy,EUSA0130 Curncy,EUSA0201 Curncy,EUSA0202 Curncy,EUSA0203 Curncy,EUSA0205 Curncy,EUSA0207 Curncy,EUSA0210 Curncy,EUSA0215 Curncy,EUSA0220 Curncy,EUSA0230 Curncy,EUSA0301 Curncy,EUSA0302 Curncy,EUSA0303 Curncy,EUSA0305 Curncy,EUSA0307 Curncy,EUSA0310 Curncy,EUSA0315 Curncy,EUSA0320 Curncy,EUSA0330 Curncy,EUSA0501 Curncy,EUSA0502 Curncy,EUSA0503 Curncy,EUSA0505 Curncy,EUSA0507 Curncy,EUSA0510 Curncy,EUSA0515 Curncy,EUSA0520 Curncy,EUSA0530 Curncy,EUSA0701 Curncy,EUSA0702 Curncy,EUSA0703 Curncy,EUSA0705 Curncy,EUSA0707 Curncy,EUSA0710 Curncy,EUSA0715 Curncy,EUSA0720 Curncy,EUSA0730 Curncy,EUSA1001 Curncy,EUSA1002 Curncy,EUSA1003 Curncy,EUSA1005 Curncy,EUSA1007 Curncy,EUSA1010 Curncy,EUSA1015 Curncy,EUSA1020 Curncy,EUSA1030 Curncy,EUSA1501 Curncy,EUSA1502 Curncy,EUSA1503 Curncy,EUSA1505 Curncy,EUSA1507 Curncy,EUSA1510 Curncy,EUSA1515 Curncy,EUSA1520 Curncy,EUSA1530 Curncy,EUSA2001 Curncy,EUSA2002 Curncy,EUSA2003 Curncy,EUSA2005 Curncy,EUSA2007 Curncy,EUSA2010 Curncy,EUSA2015 Curncy,EUSA2020 Curncy,EUSA2030 Curncy,
2/2/2024,3.55,2.99,2.75,2.61,2.60,2.63,2.69,2.62,2.41,3.55,2.99,2.75,2.61,2.60,2.63,2.69,2.62,2.41,3.55,2.99,2.75,2.61,2.60,2.63,2.69,2.62,2.41,3.55,2.99,2.75,2.61,2.60,2.63,2.69,2.62,2.41,2.39,2.34,2.34,2.39,2.45,2.55,2.61,2.54,2.35,2.29,2.31,2.35,2.42,2.49,2.59,2.62,2.53,2.33,2.34,2.38,2.44,2.50,2.58,2.65,2.64,2.53,2.31,2.51,2.55,2.57,2.65,2.71,2.74,2.63,2.49,2.27,2.65,2.69,2.70,2.78,2.80,2.75,2.58,2.42,2.20,2.85,2.86,2.86,2.83,2.76,2.62,2.42,2.27,2.06,2.63,2.58,2.52,2.38,2.28,2.18,2.04,1.94,1.77,2.01,1.99,1.97,1.94,1.88,1.82,1.76,1.68,1.54,2024
2/1/2024,3.48,2.8893,2.6593,2.5231,2.513,2.5503,2.6225,2.572,2.3735,3.48,2.8893,2.6593,2.5231,2.513,2.5503,2.6225,2.572,2.3735,3.48,2.8893,2.6593,2.5231,2.513,2.5503,2.6225,2.572,2.3735,3.48,2.8893,2.6593,2.5231,2.513,2.5503,2.6225,2.572,2.3735,2.288,2.241,2.24,2.299,2.368,2.467,2.5435,2.495,2.275,2.194,2.234,2.258,2.358,2.42,2.521,2.5592,2.485,2.282,2.255,2.301,2.317,2.439,2.485,2.585,2.576,2.4703,2.269,2.439,2.479,2.516,2.5835,2.637,2.678,2.578,2.44,2.232,2.5957,2.6239,2.677,2.719,2.725,2.706,2.535,2.383,2.165,2.81,2.827,2.792,2.782,2.697,2.582,2.377,2.2281,2.033,2.619,2.539,2.481,2.353,2.241,2.146,1.9995,1.926,1.751,2.001,1.993,1.976,1.928,1.882,1.802,1.751,1.676,1.533,2024
1/31/2024,3.455,2.863,2.641,2.5101,2.5115,2.5643,2.641,2.591,2.395,3.455,2.863,2.641,2.5101,2.5115,2.5643,2.641,2.591,2.395,3.455,2.863,2.641,2.5101,2.5115,2.5643,2.641,2.591,2.395,3.455,2.863,2.641,2.5101,2.5115,2.5643,2.641,2.591,2.395,2.273,2.23,2.232,2.302,2.38,2.487,2.572,2.515,2.3328,2.187,2.219,2.258,2.363,2.44,2.546,2.594,2.51,2.313,2.2501,2.3011,2.355,2.453,2.533,2.616,2.6165,2.507,2.304,2.4678,2.5139,2.553,2.6251,2.695,2.7238,2.62,2.481,2.268,2.636,2.672,2.705,2.769,2.785,2.746,2.5813,2.4273,2.227,2.836,2.853,2.857,2.826,2.756,2.626,2.42,2.2725,2.066,2.639,2.585,2.526,2.396,2.289,2.187,2.0437,1.953,1.78,2.026,2.007,1.987,1.945,1.898,1.837,1.774,1.69,1.544,2024
1/30/2024,3.495,2.9253,2.7123,2.5994,2.5996,2.6545,2.72,2.672,2.475,3.495,2.9253,2.7123,2.5994,2.5996,2.6545,2.72,2.672,2.475,3.495,2.9253,2.7123,2.5994,2.5996,2.6545,2.72,2.672,2.475,3.495,2.9253,2.7123,2.5994,2.5996,2.6545,2.72,2.672,2.475,2.333,2.303,2.328,2.4038,2.479,2.581,2.663,2.594,2.422,2.272,2.318,2.371,2.459,2.541,2.641,2.6845,2.59,2.401,2.366,2.4198,2.477,2.548,2.636,2.709,2.7045,2.5948,2.39,2.5675,2.6061,2.646,2.7145,2.783,2.795,2.705,2.565,2.3495,2.721,2.75,2.784,2.841,2.871,2.816,2.6518,2.497,2.259,2.908,2.925,2.9442,2.895,2.843,2.695,2.5,2.353,2.143,2.716,2.677,2.618,2.4653,2.376,2.255,2.1203,2.02,1.851,2.088,2.075,2.057,2.013,1.97,1.914,1.839,1.757,1.606,2024
1/29/2024,3.496,2.9044,2.6881,2.5687,2.5715,2.624,2.6973,2.6475,2.458,3.496,2.9044,2.6881,2.5687,2.5715,2.624,2.6973,2.6475,2.458,3.496,2.9044,2.6881,2.5687,2.5715,2.624,2.6973,2.6475,2.458,3.496,2.9044,2.6881,2.5687,2.5715,2.624,2.6973,2.6475,2.458,2.297,2.27,2.288,2.3635,2.441,2.548,2.6315,2.572,2.386,2.243,2.285,2.334,2.425,2.507,2.61,2.652,2.57,2.378,2.331,2.379,2.431,2.515,2.593,2.679,2.674,2.569,2.368,2.5325,2.5725,2.6093,2.6815,2.743,2.772,2.6795,2.541,2.33,2.695,2.7282,2.764,2.817,2.835,2.797,2.6337,2.481,2.26,2.896,2.914,2.908,2.876,2.809,2.679,2.4816,2.337,2.128,2.699,2.645,2.585,2.453,2.346,2.241,2.106,2.014,1.841,2.083,2.066,2.048,2.008,1.962,1.903,1.8342,1.749,1.6,2024
1/26/2024,3.523,2.951,2.741,2.6243,2.6241,2.6775,2.747,2.6965,2.495,3.523,2.951,2.741,2.6243,2.6241,2.6775,2.747,2.6965,2.495,3.523,2.951,2.741,2.6243,2.6241,2.6775,2.747,2.6965,2.495,3.523,2.951,2.741,2.6243,2.6241,2.6775,2.747,2.6965,2.495,2.375,2.337,2.365,2.4343,2.511,2.609,2.6845,2.624,2.439,2.301,2.354,2.41,2.491,2.569,2.668,2.705,2.619,2.424,2.402,2.4525,2.495,2.579,2.655,2.735,2.7232,2.6148,2.412,2.5948,2.631,2.668,2.736,2.803,2.821,2.7242,2.583,2.371,2.746,2.7789,2.822,2.8657,2.892,2.843,2.6738,2.517,2.309,2.94,2.957,2.962,2.918,2.862,2.7155,2.5158,2.3674,2.162,2.749,2.691,2.631,2.4836,2.388,2.267,2.1314,2.043,1.87,2.115,2.102,2.082,2.034,1.993,1.923,1.859,1.779,1.629,2024
1/25/2024,3.54,2.9515,2.7335,2.623,2.6234,2.6745,2.7425,2.6883,2.489,3.54,2.9515,2.7335,2.623,2.6234,2.6745,2.7425,2.6883,2.489,3.54,2.9515,2.7335,2.623,2.6234,2.6745,2.7425,2.6883,2.489,3.54,2.9515,2.7335,2.623,2.6234,2.6745,2.7425,2.6883,2.489,2.3523,2.319,2.349,2.4223,2.5,2.603,2.6774,2.609,2.422,2.275,2.334,2.392,2.482,2.561,2.661,2.6987,2.604,2.408,2.3946,2.4433,2.495,2.576,2.647,2.731,2.717,2.605,2.398,2.5894,2.631,2.668,2.732,2.79,2.814,2.715,2.572,2.355,2.743,2.7749,2.806,2.86,2.8799,2.833,2.661,2.5066,2.27,2.945,2.949,2.956,2.909,2.846,2.703,2.5018,2.354,2.144,2.714,2.666,2.606,2.466,2.361,2.252,2.116,2.022,1.851,2.089,2.069,2.051,2.015,1.964,1.909,1.841,1.753,1.605,2024
1/24/2024,3.597,3.0296,2.818,2.6877,2.6819,2.7271,2.7785,2.7189,2.505,3.597,3.0296,2.818,2.6877,2.6819,2.7271,2.7785,2.7189,2.505,3.597,3.0296,2.818,2.6877,2.6819,2.7271,2.7785,2.7189,2.505,3.597,3.0296,2.818,2.6877,2.6819,2.7271,2.7785,2.7189,2.505,2.441,2.406,2.423,2.4854,2.553,2.648,2.7135,2.642,2.436,2.368,2.409,2.4485,2.528,2.607,2.698,2.7285,2.6308,2.425,2.442,2.486,2.5303,2.61,2.674,2.759,2.7424,2.6248,2.41,2.6272,2.6675,2.704,2.769,2.81,2.839,2.734,2.5863,2.366,2.779,2.8089,2.858,2.888,2.894,2.849,2.6758,2.515,2.312,2.968,2.959,2.966,2.924,2.852,2.7135,2.5066,2.3555,2.148,2.744,2.666,2.603,2.4675,2.355,2.255,2.114,2.02,1.852,2.08,2.084,2.067,2.019,1.982,1.905,1.849,1.774,1.622,2024
