23/01/2024,1y,2y,5y,10y,20y,30y
10/11/2018,EUSA1 ICPL Curncy,EUSA2 ICPL Curncy,EUSA5 ICPL Curncy,EUSA10 ICPL Curncy,EUSA20 ICPL Curncy ,EUSA30 ICPL Curncy
23/01/2024,3.61,3.025,2.68,2.71,2.701,2.49
22/01/2024,3.608,3.025,2.672,2.689,2.67,2.453
19/01/2024,3.612,3.058,2.705,2.718,2.689,2.468
18/01/2024,3.592,3.02,2.694,2.732,2.717,2.504
17/01/2024,3.572,3.008,2.667,2.691,2.675,2.467
16/01/2024,3.524,2.934,2.607,2.665,2.68,2.491
15/01/2024,3.515,2.918,2.573,2.62,2.638,2.45
12/01/2024,3.499,2.891,2.538,2.592,2.613,2.429
11/01/2024,3.572,2.988,2.614,2.646,2.652,2.46
10/01/2024,3.58,3.006,2.632,2.66,2.651,2.452
09/01/2024,3.561,2.978,2.602,2.639,2.637,2.443
08/01/2024,3.552,2.928,2.539,2.583,2.585,2.394
05/01/2024,3.559,2.961,2.587,2.617,2.615,2.424
04/01/2024,3.522,2.907,2.529,2.566,2.575,2.388
03/01/2024,3.466,2.801,2.403,2.461,2.489,2.312
02/01/2024,3.476,2.841,2.467,2.524,2.547,2.368
01/01/2024,3.458,2.797,2.431,2.493,2.508,2.33
29/12/2023,3.458,2.797,2.431,2.493,2.508,2.33
28/12/2023,3.454,2.783,2.384,2.421,2.436,2.26
27/12/2023,3.475,2.802,2.358,2.379,2.387,2.208
26/12/2023,3.495,2.828,2.409,2.45,2.465,2.288
25/12/2023,3.495,2.828,2.409,2.45,2.465,2.288
22/12/2023,3.495,2.828,2.409,2.45,2.465,2.288
21/12/2023,3.514,2.863,2.432,2.449,2.449,2.265
20/12/2023,3.537,2.886,2.444,2.441,2.43,2.24
19/12/2023,3.563,2.933,2.5,2.496,2.489,2.302
18/12/2023,3.572,2.956,2.532,2.543,2.539,2.35
15/12/2023,3.56,2.938,2.5,2.496,2.489,2.296
14/12/2023,3.597,2.998,2.573,2.589,2.591,2.396
13/12/2023,3.657,3.096,2.665,2.644,2.616,2.405
12/12/2023,3.693,3.149,2.715,2.706,2.677,2.463
11/12/2023,3.694,3.143,2.736,2.749,2.724,2.515
08/12/2023,3.674,3.125,2.724,2.744,2.722,2.514
07/12/2023,3.64,3.065,2.652,2.671,2.661,2.464
06/12/2023,3.65,3.084,2.68,2.685,2.656,2.449
05/12/2023,3.645,3.08,2.703,2.728,2.711,2.513
04/12/2023,3.691,3.158,2.797,2.837,2.845,2.655
01/12/2023,3.717,3.176,2.801,2.856,2.881,2.691
30/11/2023,3.835,3.32,2.923,2.947,2.95,2.742
29/11/2023,3.865,3.346,2.917,2.933,2.942,2.74
28/11/2023,3.898,3.413,2.98,2.985,2.987,2.78
27/11/2023,3.942,3.48,3.043,3.038,3.024,2.805
24/11/2023,3.992,3.564,3.139,3.117,3.079,2.849
23/11/2023,3.983,3.545,3.123,3.101,3.062,2.827
22/11/2023,3.975,3.522,3.078,3.05,3.017,2.788
21/11/2023,3.957,3.482,3.046,3.047,3.032,2.808
20/11/2023,3.961,3.501,3.08,3.073,3.052,2.82
17/11/2023,3.951,3.485,3.067,3.077,3.066,2.84
16/11/2023,3.938,3.466,3.051,3.073,3.078,2.859
15/11/2023,3.972,3.519,3.107,3.12,3.119,2.899
14/11/2023,3.973,3.507,3.086,3.083,3.067,2.839
13/11/2023,4.01,3.584,3.187,3.186,3.158,2.917
10/11/2023,3.996,3.571,3.182,3.193,3.165,2.924
09/11/2023,3.968,3.523,3.119,3.142,3.131,2.895
08/11/2023,3.976,3.53,3.111,3.107,3.072,2.827
07/11/2023,3.971,3.522,3.13,3.157,3.147,2.911
06/11/2023,3.978,3.535,3.165,3.227,3.236,3.008
03/11/2023,3.964,3.499,3.104,3.157,3.172,2.949
02/11/2023,3.979,3.533,3.168,3.229,3.249,3.024
01/11/2023,3.987,3.54,3.195,3.289,3.32,3.096
31/10/2023,4.012,3.597,3.261,3.349,3.362,3.133
30/10/2023,4.024,3.611,3.28,3.366,3.372,3.142
27/10/2023,4.036,3.629,3.293,3.375,3.385,3.157
26/10/2023,4.055,3.664,3.324,3.39,3.381,3.144
25/10/2023,4.079,3.731,3.392,3.441,3.414,3.167
24/10/2023,4.08,3.716,3.355,3.383,3.351,3.102
23/10/2023,4.103,3.763,3.413,3.43,3.38,3.123
20/10/2023,4.102,3.771,3.434,3.463,3.416,3.164
19/10/2023,4.139,3.824,3.47,3.477,3.426,3.172
18/10/2023,4.151,3.834,3.463,3.462,3.399,3.142
17/10/2023,4.141,3.824,3.445,3.429,3.357,3.094
16/10/2023,4.106,3.758,3.368,3.359,3.318,3.074
13/10/2023,4.115,3.759,3.339,3.306,3.256,3.006
12/10/2023,4.123,3.772,3.369,3.354,3.3,3.047
11/10/2023,4.098,3.719,3.314,3.292,3.237,2.981
10/10/2023,4.086,3.694,3.327,3.351,3.323,3.074
09/10/2023,4.085,3.68,3.314,3.354,3.331,3.084
06/10/2023,4.114,3.761,3.414,3.458,3.419,3.165
05/10/2023,4.12,3.761,3.4,3.426,3.388,3.137
04/10/2023,4.14,3.802,3.457,3.482,3.427,3.168
03/10/2023,4.153,3.83,3.484,3.517,3.469,3.216
02/10/2023,4.157,3.828,3.458,3.468,3.422,3.178
29/09/2023,4.148,3.804,3.406,3.391,3.337,3.091
28/09/2023,4.171,3.875,3.5,3.464,3.384,3.129
27/09/2023,4.16,3.824,3.42,3.379,3.327,3.095
26/09/2023,4.135,3.807,3.387,3.348,3.301,3.072
25/09/2023,4.15,3.809,3.38,3.341,3.304,3.078
22/09/2023,4.142,3.823,3.364,3.282,3.216,2.983
21/09/2023,4.133,3.824,3.368,3.274,3.197,2.96
20/09/2023,4.13,3.815,3.334,3.231,3.16,2.929
19/09/2023,4.145,3.844,3.365,3.263,3.182,2.946
18/09/2023,4.142,3.823,3.339,3.237,3.158,2.922
15/09/2023,4.118,3.788,3.305,3.209,3.137,2.897
14/09/2023,4.088,3.744,3.243,3.142,3.064,2.82
13/09/2023,4.071,3.77,3.306,3.194,3.091,2.83
12/09/2023,4.034,3.733,3.29,3.196,3.106,2.85
11/09/2023,4.019,3.703,3.266,3.187,3.105,2.851
08/09/2023,4.002,3.686,3.248,3.163,3.08,2.823
07/09/2023,3.993,3.682,3.244,3.162,3.08,2.823
06/09/2023,3.997,3.705,3.276,3.195,3.106,2.844
05/09/2023,3.982,3.664,3.237,3.173,3.104,2.852
04/09/2023,3.995,3.669,3.225,3.148,3.067,2.811
01/09/2023,3.971,3.644,3.186,3.117,3.044,2.792
31/08/2023,3.987,3.626,3.131,3.039,2.957,2.701
30/08/2023,4.036,3.73,3.239,3.13,3.033,2.769
29/08/2023,4.007,3.703,3.212,3.095,3,2.739
28/08/2023,4.025,3.73,3.259,3.153,3.057,2.794
25/08/2023,4.014,3.72,3.26,3.155,3.056,2.787
24/08/2023,3.98,3.658,3.205,3.121,3.029,2.762
23/08/2023,3.992,3.655,3.194,3.109,3.022,2.76
22/08/2023,4.042,3.763,3.323,3.232,3.124,2.851
21/08/2023,4.049,3.788,3.372,3.288,3.188,2.916
18/08/2023,4.029,3.742,3.307,3.215,3.116,2.846
17/08/2023,4.051,3.796,3.381,3.297,3.182,2.905
