02/04/2024,1y,2y,5y,10y,20y,30y
11/22/2018,USOSFR1 Curncy,USOSFR2 Curncy,USOSFR5 Curncy,USOSFR10 Curncy,USOSFR20 Curncy,USOSFR30 Curncy
02/02/24,4.86,4.237,3.7314,3.6605,3.6757,3.513
02/01/24,4.708,4.0579,3.5625,3.5208,3.5612,3.409
01/31/24,4.7279,4.0715,3.5796,3.5488,3.6027,3.455
01/30/24,4.8092,4.1977,3.7175,3.6721,3.7068,3.5491
01/29/24,4.7947,4.1771,3.7292,3.7127,3.7643,3.6128
01/26/24,4.8057,4.2054,3.779,3.7716,3.8182,3.6632
01/25/24,4.776,4.1549,3.746,3.7552,3.816,3.6662
01/24/24,4.8462,4.2432,3.8226,3.8102,3.8578,3.703
01/23/24,4.82,4.205,3.7765,3.7635,3.8119,3.6575
01/22/24,4.8504,4.226,3.7688,3.7413,3.7801,3.6221
01/19/24,4.8384,4.2295,3.7912,3.7558,3.7874,3.6269
01/18/24,4.7967,4.1874,3.7771,3.7638,3.8109,3.6566
01/17/24,4.8163,4.2034,3.7553,3.7212,3.7576,3.6001
01/16/24,4.7121,4.0614,3.6559,3.6677,3.7292,3.5805
01/12/24,4.6385,3.9766,3.5505,3.5476,3.6085,3.4604
01/11/24,4.7227,4.0733,3.5955,3.581,3.6292,3.475
01/10/24,4.8195,4.1926,3.6876,3.6436,3.6728,3.5108
01/09/24,4.8358,4.2075,3.6942,3.6404,3.6649,3.5007
01/08/24,4.8469,4.218,3.7168,3.661,3.677,3.5089
01/05/24,4.8402,4.2161,3.7066,3.6515,3.6687,3.5021
01/04/24,4.864,4.2227,3.6849,3.6119,3.6268,3.4606
01/03/24,4.8317,4.1609,3.5982,3.5232,3.5419,3.3785
01/02/24,4.8003,4.141,3.5925,3.5161,3.5205,3.3494
12/29/23,4.7559,4.0657,3.5291,3.474,3.484,3.3162
12/28/23,4.7773,4.0964,3.531,3.4534,3.4632,3.295
12/27/23,4.763,4.075,3.495,3.4137,3.4285,3.263
12/26/23,4.8125,4.139,3.5865,3.5127,3.5194,3.3483
