,a1m,a1m,a1m,a1m,a1m,a1m,a1m,a1m,a1m,b3m,b3m,b3m,b3m,b3m,b3m,b3m,b3m,b3m,c6m,c6m,c6m,c6m,c6m,c6m,c6m,c6m,c6m,d9m,d9m,d9m,d9m,d9m,d9m,d9m,d9m,d9m,e1y,e1y,e1y,e1y,e1y,e1y,e1y,e1y,e1y,f2y,f2y,f2y,f2y,f2y,f2y,f2y,f2y,f2y,g3y,g3y,g3y,g3y,g3y,g3y,g3y,g3y,g3y,h5y,h5y,h5y,h5y,h5y,h5y,h5y,h5y,h5y,i7y,i7y,i7y,i7y,i7y,i7y,i7y,i7y,i7y,j10y,j10y,j10y,j10y,j10y,j10y,j10y,j10y,j10y,k15y,k15y,k15y,k15y,k15y,k15y,k15y,k15y,k15y,l20y,l20y,l20y,l20y,l20y,l20y,l20y,l20y,l20y,Year
,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,1y,2y,3y,5y,7y,10y,15y,20y,30y,
11/22/2018,USSNAA1 ICPL Curncy,USSNAA2 ICPL Curncy,USSNAA3 ICPL Curncy,USSNAA5 ICPL Curncy,USSNAA7 ICPL Curncy,USSNAA10 ICPL Curncy,USSNAA15 ICPL Curncy,USSNAA20 ICPL Curncy,USSNAA30 ICPL Curncy,USSNAC1 ICPL Curncy,USSNAC2 ICPL Curncy,USSNAC3 ICPL Curncy,USSNAC5 ICPL Curncy,USSNAC7 ICPL Curncy,USSNAC10 ICPL Curncy,USSNAC15 ICPL Curncy,USSNAC20 ICPL Curncy,USSNAC30 ICPL Curncy,USSNAF1 ICPL Curncy,USSNAF2 ICPL Curncy,USSNAF3 ICPL Curncy,USSNAF5 ICPL Curncy,USSNAF7 ICPL Curncy,USSNAF10 ICPL Curncy,USSNAF15 ICPL Curncy,USSNAF20 ICPL Curncy,USSNAF30 ICPL Curncy,USSNAI1 ICPL Curncy,USSNAI2 ICPL Curncy,USSNAI3 ICPL Curncy,USSNAI5 ICPL Curncy,USSNAI7 ICPL Curncy,USSNAI10 ICPL Curncy,USSNAI15 ICPL Curncy,USSNAI20 ICPL Curncy,USSNAI30 ICPL Curncy,USSNA11 ICPL Curncy,USSNA12 ICPL Curncy,USSNA13 ICPL Curncy,USSNA15 ICPL Curncy,USSNA17 ICPL Curncy,USSNA110 ICPL Curncy,USSNA115  ICPL Curncy,USSNA120 ICPL Curncy,USSNA130 ICPL Curncy,USSNA21 ICPL Curncy,USSNA22 ICPL Curncy,USSNA23 ICPL Curncy,USSNA25 ICPL Curncy,USSNA27 ICPL Curncy,USSNA210 ICPL Curncy,USSNA215 ICPL Curncy,USSNA220 ICPL Curncy,USSNA230 ICPL Curncy,USSNA31 ICPL Curncy,USSNA32 ICPL Curncy,USSNA33 ICPL Curncy,USSNA35 ICPL Curncy,USSNA37 ICPL Curncy,USSNA310 ICPL Curncy,USSNA315 ICPL Curncy,USSNA320 ICPL Curncy,USSNA330 ICPL Curncy,USSNA51 ICPL Curncy,USSNA52 ICPL Curncy,USSNA53 ICPL Curncy,USSNA55 ICPL Curncy,USSNA57 ICPL Curncy,USSNA510 ICPL Curncy,USSNA515 ICPL Curncy,USSNA520 ICPL Curncy,USSNA530 ICPL Curncy,USSNA71 ICPL Curncy,USSNA72 ICPL Curncy,USSNA73 ICPL Curncy,USSNA75 ICPL Curncy,USSNA77 ICPL Curncy,USSNA710 ICPL Curncy,USSNA715 ICPL Curncy,USSNA720 ICPL Curncy,USSNA730 ICPL Curncy,USSNA101 ICPL Curncy,USSNA102 ICPL Curncy,USSNA103 ICPL Curncy,USSNA105 ICPL Curncy,USSNA107 ICPL Curncy,USSNA1010 ICPL Curncy,USSNA1015 ICPL Curncy,USSNA1020 ICPL Curncy,USSNA1030 ICPL Curncy,USSNA151 ICPL Curncy,USSNA152 ICPL Curncy,USSNA153 ICPL Curncy,USSNA155 ICPL Curncy,USSNA157 ICPL Curncy,USSNA1510 ICPL Curncy,USSNA1515 ICPL Curncy,USSNA1520 ICPL Curncy,USSNA1530 ICPL Curncy,USSNA201 ICPL Curncy,USSNA202 ICPL Curncy,USSNA203 ICPL Curncy,USSNA205 ICPL Curncy,USSNA207 ICPL Curncy,USSNA2010 ICPL Curncy,USSNA2015 ICPL Curncy,USSNA2020 ICPL Curncy,USSNA2030 ICPL Curncy,
02/02/24,106,118,117,115.6,107,103,97.7,94.4,91.2,116.8,128.5,124.3,118.7,112.6,107.6,102.5,98.4,94.3,124.4,126.2,122.5,116.2,111.2,106.9,101.8,97.6,93.5,128.7,125.2,121,114.8,110.5,106.8,101.8,97.7,93.6,128.9,124.1,119.5,114.2,110.2,106.7,101.8,97.7,93.9,119,116.2,113.2,109.4,106.1,103.2,98.4,94.6,91,112.8,110.8,108.8,105.1,102.1,99.1,94.3,90.8,87.3,105,102.6,100.6,97.4,95,92,87.5,84.3,81.2,97.5,95.4,93.5,90.6,88.7,85.9,81.4,78.6,75.9,89.2,87.2,85.1,81.9,80.1,89.2,89.2,87.2,85.1,76.5,75.7,74.2,71.8,70,76.5,76.5,75.7,74.2,68.5,67.8,66.5,64,62.6,68.5,68.5,67.8,66.5,2024
02/01/24,116.5,129.2,126.6,122.2,114.8,110.6,104.9,101.4,97.8,121.7,132.7,126.9,120,113.5,108.2,103.1,99,95,128.6,129.7,124.6,117.1,111.5,106.6,101.6,97.5,93.4,131.3,127.7,122.7,115.7,110.8,106.5,101.5,97.4,93.3,131.5,125.8,120.8,114.5,109.8,105.7,100.9,96.8,93.2,118.7,115.9,113.3,108.8,105.2,101.9,97.3,93.4,90,111.4,110,108.1,104.4,101.1,97.8,93.2,89.9,86.4,103.9,101.8,99.6,96.2,93.8,90.8,86.3,83,80.1,96.8,94.8,92.8,89.6,87.6,84.6,80.1,77.3,74.6,88.1,86.1,84,80.7,78.9,88.1,88.1,86.1,84,75.6,74.8,73.2,70.7,68.9,75.6,75.6,74.8,73.2,67.6,66.9,65.5,62.9,61.5,67.6,67.6,66.9,65.5,2024
01/31/24,117.7,132.9,128.8,119.5,109.4,103.6,98.3,94.9,91.6,119.9,128.9,123.8,117.1,110.3,104.8,99.5,95.2,90.9,128,127.8,123.6,116.1,109.8,104.5,99.4,95.2,91,129.5,126.3,121.6,114.6,109.2,104.7,99.7,95.6,91.5,130.6,124.7,119.7,113.3,108.7,104.7,99.7,95.4,91.7,119,115.7,113.1,108.7,104.9,101.4,96.6,92.7,89.1,111.7,110.2,108,104.6,101,97.6,92.8,89.3,85.9,103.6,101.5,99.5,96.2,93.8,90.6,86.1,82.7,79.8,96.8,94.9,92.9,89.6,87.5,84.5,80,77.1,74.4,88.3,86.1,84,80.7,78.9,88.3,88.3,86.1,84,75.6,74.8,73.2,70.7,68.8,75.6,75.6,74.8,73.2,67.6,66.9,65.5,63,61.5,67.6,67.6,66.9,65.5,2024
01/30/24,109.2,122.8,120,113,104.7,99.3,94,90.9,87.4,110.7,119.8,116.1,111.8,106.3,101.9,96.8,92.7,88.6,120.3,121,118.1,112.9,107.7,103.2,98.2,94.2,90.1,124,121.2,118,112.8,108.5,104.8,99.8,95.7,91.6,126.7,121.4,117.6,112.5,108.5,105.2,100.2,95.9,92.1,117.7,114.7,112.3,109,105.4,102.2,97.3,93.3,89.7,111.6,110.2,108,105.2,101.7,98.4,93.5,89.9,86.4,104.9,102.8,100.6,97.2,94.7,91.6,86.9,83.4,80.3,97.7,96,93.9,90.6,88.5,85.4,80.8,77.9,75.2,89.2,87.2,85,81.7,79.9,89.2,89.2,87.2,85,76.5,75.7,74.1,71.5,69.7,76.5,76.5,75.7,74.1,68.4,67.7,66.3,63.7,62.2,68.4,68.4,67.7,66.3,2024
01/29/24,108.9,123.7,121.7,114.6,106.3,101.8,96.4,93.2,89.6,113.9,122.8,119,114.4,108.9,104.4,99.5,95.5,91.5,124,124.6,121.3,116,110.8,106.3,101.4,97.3,93.3,127,124.5,121,115.8,111.1,107,102,98,93.9,129.2,124.4,120.4,115,110.8,107.3,102.5,98.2,94.5,119.9,116.7,114.3,110.7,107.1,103.7,99,95.1,91.6,113.2,111.7,109.5,106.3,102.8,99.5,94.7,91.3,87.9,105.8,103.7,101.5,98.1,95.6,92.4,87.9,84.6,81.7,98.3,96.7,94.6,91.4,89.2,86.1,81.7,78.9,76.2,89.6,87.6,85.4,82.1,80.3,89.6,89.6,87.6,85.4,76.6,75.8,74.2,71.6,69.8,76.6,76.6,75.8,74.2,68.5,67.7,66.4,63.8,62.3,68.5,68.5,67.7,66.4,2024
01/26/24,100.2,114.6,113.2,106.8,99.9,97,92.2,89.3,85,111.2,121.1,117.8,113.6,108.1,103.6,98.6,94.5,90.4,122.1,123,119.9,115,110,105.7,100.6,96.5,92.3,125.4,123.7,120,114.9,110.3,106.4,101.3,97.2,93.1,127.9,124.3,120.2,114.9,110.6,107,102,97.9,93.8,119.6,116.6,114.4,111.1,107.3,103.8,98.9,95.1,91.4,113.2,111.4,109.5,106.4,102.9,99.4,94.6,91.2,87.7,106,103.9,101.7,98.3,95.8,92.6,88.1,84.9,81.7,98.4,96.8,94.7,91.6,89.4,86.3,81.8,79.2,76.3,89.7,87.8,85.6,82.2,80.5,89.7,89.7,87.8,85.6,76.8,76,74.4,71.8,70,76.8,76.8,76,74.4,68.6,67.9,66.5,63.9,62.4,68.6,68.6,67.9,66.5,2024
01/25/24,105,119.9,118.7,112.8,105.3,101.5,96.6,93.6,90.2,113.7,123.5,120.8,116.3,111.1,106.3,101.2,97.1,93,124.2,124.7,122,116.2,111.6,107.3,102.3,98.2,94,127.9,125.5,121.9,116.1,111.6,107.4,102.3,98.2,94.1,130.6,126.3,121.7,116,111.8,108,102.9,98.8,94.6,121.1,117,114.7,111.5,107.6,104.1,99.2,95.2,91.5,113.8,111.4,109.6,106.5,103,99.6,94.7,91.3,87.7,106.2,104,101.8,98.4,95.9,92.8,88.1,84.9,81.7,98.5,96.9,94.9,91.7,89.6,86.5,81.9,79.3,76.4,89.3,87.7,85.6,82.4,80.6,89.3,89.3,87.7,85.6,76.9,75.9,74.4,71.9,70,76.9,76.9,75.9,74.4,68.6,67.8,66.5,64,62.5,68.6,68.6,67.8,66.5,2024
01/24/24,104.4,120.8,120.1,115,107.3,103.2,98.2,95.2,91.9,110.8,122.8,119.4,117.1,112.1,107.4,102.3,98.2,94,121.9,123.9,120.8,117.1,112.5,108.3,103.2,99,94.8,126.2,125.1,121.4,117.2,112.6,108.3,103.2,99.1,95,129.3,126.4,122.5,117.2,113,109,103.9,99.8,95.6,120.1,117.4,115.2,112.5,108.6,105,100,96,92.1,113.3,111.9,110.4,107.2,103.8,100.4,95.4,91.8,88.1,106.3,104.5,102.4,99,96.7,93.4,88.7,85.4,82.1,98.9,97.3,95.3,92.3,90.1,87,82.3,79.6,76.5,90,88.1,86,82.8,81,90,90,88.1,86,77.3,76.3,74.8,72.2,70.4,77.3,77.3,76.3,74.8,68.9,68.2,66.8,64.3,62.8,68.9,68.9,68.2,66.8,2024
